Serial No.,MQ2,Gas,Gaseus state
0,555,NoGas,0_NoGas
1,555,NoGas,1_NoGas
2,556,NoGas,2_NoGas
3,556,NoGas,3_NoGas
4,556,NoGas,4_NoGas
5,557,NoGas,5_NoGas
6,556,NoGas,6_NoGas
7,556,NoGas,7_NoGas
8,556,NoGas,8_NoGas
9,556,NoGas,9_NoGas
10,558,NoGas,10_NoGas
11,558,NoGas,11_NoGas
12,558,NoGas,12_NoGas
13,559,NoGas,13_NoGas
14,558,NoGas,14_NoGas
15,559,NoGas,15_NoGas
16,559,NoGas,16_NoGas
17,559,NoGas,17_NoGas
18,559,NoGas,18_NoGas
19,559,NoGas,19_NoGas
20,559,NoGas,20_NoGas
21,560,NoGas,21_NoGas
22,559,NoGas,22_NoGas
23,559,NoGas,23_NoGas
24,561,NoGas,24_NoGas
25,560,NoGas,25_NoGas
26,560,NoGas,26_NoGas
27,560,NoGas,27_NoGas
28,562,NoGas,28_NoGas
29,561,NoGas,29_NoGas
30,562,NoGas,30_NoGas
31,561,NoGas,31_NoGas
32,562,NoGas,32_NoGas
33,563,NoGas,33_NoGas
34,563,NoGas,34_NoGas
35,563,NoGas,35_NoGas
36,563,NoGas,36_NoGas
37,564,NoGas,37_NoGas
38,564,NoGas,38_NoGas
39,565,NoGas,39_NoGas
40,565,NoGas,40_NoGas
41,564,NoGas,41_NoGas
42,566,NoGas,42_NoGas
43,566,NoGas,43_NoGas
44,565,NoGas,44_NoGas
45,565,NoGas,45_NoGas
46,565,NoGas,46_NoGas
47,564,NoGas,47_NoGas
48,564,NoGas,48_NoGas
49,564,NoGas,49_NoGas
50,563,NoGas,50_NoGas
51,564,NoGas,51_NoGas
52,563,NoGas,52_NoGas
53,564,NoGas,53_NoGas
54,565,NoGas,54_NoGas
55,565,NoGas,55_NoGas
56,565,NoGas,56_NoGas
57,564,NoGas,57_NoGas
58,564,NoGas,58_NoGas
59,658,NoGas,59_NoGas
60,657,NoGas,60_NoGas
61,655,NoGas,61_NoGas
62,655,NoGas,62_NoGas
63,652,NoGas,63_NoGas
64,653,NoGas,64_NoGas
65,652,NoGas,65_NoGas
66,651,NoGas,66_NoGas
67,650,NoGas,67_NoGas
68,650,NoGas,68_NoGas
69,649,NoGas,69_NoGas
70,649,NoGas,70_NoGas
71,649,NoGas,71_NoGas
72,647,NoGas,72_NoGas
73,647,NoGas,73_NoGas
74,645,NoGas,74_NoGas
75,645,NoGas,75_NoGas
76,644,NoGas,76_NoGas
77,642,NoGas,77_NoGas
78,642,NoGas,78_NoGas
79,641,NoGas,79_NoGas
80,641,NoGas,80_NoGas
81,640,NoGas,81_NoGas
82,693,NoGas,82_NoGas
83,690,NoGas,83_NoGas
84,690,NoGas,84_NoGas
85,689,NoGas,85_NoGas
86,686,NoGas,86_NoGas
87,685,NoGas,87_NoGas
88,683,NoGas,88_NoGas
89,681,NoGas,89_NoGas
90,679,NoGas,90_NoGas
91,678,NoGas,91_NoGas
92,677,NoGas,92_NoGas
93,676,NoGas,93_NoGas
94,674,NoGas,94_NoGas
95,673,NoGas,95_NoGas
96,673,NoGas,96_NoGas
97,672,NoGas,97_NoGas
98,672,NoGas,98_NoGas
99,670,NoGas,99_NoGas
100,669,NoGas,100_NoGas
101,666,NoGas,101_NoGas
102,666,NoGas,102_NoGas
103,664,NoGas,103_NoGas
104,664,NoGas,104_NoGas
105,663,NoGas,105_NoGas
106,662,NoGas,106_NoGas
107,661,NoGas,107_NoGas
108,661,NoGas,108_NoGas
109,662,NoGas,109_NoGas
110,661,NoGas,110_NoGas
111,660,NoGas,111_NoGas
112,660,NoGas,112_NoGas
113,660,NoGas,113_NoGas
114,661,NoGas,114_NoGas
115,662,NoGas,115_NoGas
116,661,NoGas,116_NoGas
117,661,NoGas,117_NoGas
118,660,NoGas,118_NoGas
119,660,NoGas,119_NoGas
120,660,NoGas,120_NoGas
121,660,NoGas,121_NoGas
122,661,NoGas,122_NoGas
123,660,NoGas,123_NoGas
124,660,NoGas,124_NoGas
125,658,NoGas,125_NoGas
126,657,NoGas,126_NoGas
127,657,NoGas,127_NoGas
128,654,NoGas,128_NoGas
129,654,NoGas,129_NoGas
130,653,NoGas,130_NoGas
131,653,NoGas,131_NoGas
132,651,NoGas,132_NoGas
133,651,NoGas,133_NoGas
134,650,NoGas,134_NoGas
135,647,NoGas,135_NoGas
136,709,NoGas,136_NoGas
137,705,NoGas,137_NoGas
138,703,NoGas,138_NoGas
139,699,NoGas,139_NoGas
140,697,NoGas,140_NoGas
141,696,NoGas,141_NoGas
142,696,NoGas,142_NoGas
143,696,NoGas,143_NoGas
144,695,NoGas,144_NoGas
145,694,NoGas,145_NoGas
146,691,NoGas,146_NoGas
147,691,NoGas,147_NoGas
148,691,NoGas,148_NoGas
149,690,NoGas,149_NoGas
150,692,NoGas,150_NoGas
151,692,NoGas,151_NoGas
152,692,NoGas,152_NoGas
153,692,NoGas,153_NoGas
154,693,NoGas,154_NoGas
155,694,NoGas,155_NoGas
156,696,NoGas,156_NoGas
157,697,NoGas,157_NoGas
158,700,NoGas,158_NoGas
159,702,NoGas,159_NoGas
160,702,NoGas,160_NoGas
161,697,NoGas,161_NoGas
162,691,NoGas,162_NoGas
163,687,NoGas,163_NoGas
164,688,NoGas,164_NoGas
165,693,NoGas,165_NoGas
166,696,NoGas,166_NoGas
167,695,NoGas,167_NoGas
168,693,NoGas,168_NoGas
169,691,NoGas,169_NoGas
170,692,NoGas,170_NoGas
171,693,NoGas,171_NoGas
172,693,NoGas,172_NoGas
173,688,NoGas,173_NoGas
174,687,NoGas,174_NoGas
175,685,NoGas,175_NoGas
176,685,NoGas,176_NoGas
177,684,NoGas,177_NoGas
178,684,NoGas,178_NoGas
179,683,NoGas,179_NoGas
180,681,NoGas,180_NoGas
181,680,NoGas,181_NoGas
182,678,NoGas,182_NoGas
183,678,NoGas,183_NoGas
184,675,NoGas,184_NoGas
185,673,NoGas,185_NoGas
186,672,NoGas,186_NoGas
187,669,NoGas,187_NoGas
188,763,NoGas,188_NoGas
189,773,NoGas,189_NoGas
190,738,NoGas,190_NoGas
191,728,NoGas,191_NoGas
192,725,NoGas,192_NoGas
193,724,NoGas,193_NoGas
194,721,NoGas,194_NoGas
195,718,NoGas,195_NoGas
196,716,NoGas,196_NoGas
197,715,NoGas,197_NoGas
198,713,NoGas,198_NoGas
199,712,NoGas,199_NoGas
200,709,NoGas,200_NoGas
201,708,NoGas,201_NoGas
202,706,NoGas,202_NoGas
203,706,NoGas,203_NoGas
204,705,NoGas,204_NoGas
205,704,NoGas,205_NoGas
206,703,NoGas,206_NoGas
207,703,NoGas,207_NoGas
208,701,NoGas,208_NoGas
209,700,NoGas,209_NoGas
210,698,NoGas,210_NoGas
211,698,NoGas,211_NoGas
212,698,NoGas,212_NoGas
213,698,NoGas,213_NoGas
214,698,NoGas,214_NoGas
